RT @manukumarjain: #Santa's gift to Mi Fans! You can now buy amazing #Ultima8 series 24x7!🤩

🎅 #RedmiNote8Pro (#64MP, #G90T  processor, 6+6…
See the Nike shoe provided by flipkart. @Flipkart @flipkartsupport https://t.co/Hf7WM3HCLl
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@flipkartsupport I have no patience bcoz I have paid money for the same. Pl. do such arrangement that I will get it… https://t.co/wasOxCNJ3k
RT @praveendel: Amazon-Flipkart .. Habitual law offenders, Experts in Tax Avoidance, Monopolising market is USP, Excellence in killing dome…
@_Kalyan_K Plzz Pay Attention In Flipkart Account Blocking Issue 🙌🏻
Here is the details of support provided by flipkart and they are not helping me.@Flipkart @flipkartsupport https://t.co/iCTbqlbuWt
@flipkartsupport
@_Kalyan_K 
Is It Wrong To Request Replacement For Wrong Or Damage Product???
Where r ur "T&amp; C"  T… https://t.co/4x18VFYr3u
Walmart’s Flipkart has backed Shadowfax in a new $60 million financing round as t... #news #media #abanews… https://t.co/sdf4vlzuMv
I got a different brand local shoe( sports) instead of Nike retaliation tr 2 (₹3668.0) from flipkart app and which… https://t.co/glsjOkhOap
@susil453 @ishanc @Flipkart @consaff @UfterYou @JagoGrahakJago_ @consumerforum_ They took my 500rs today..what shou… https://t.co/SMfrw2SeTP
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart Worst service.  firstly  they deliver wrong products on returning    they block account
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart @Gadgets360 @ndtv @_sachinbansal @flipkartsupport @MiIndiaSupport @paytm @91mobiles @Paytm  Flipkart fool… https://t.co/gfhBwIJN7d
Play games and win exciting rewards #flipkart #gamezone 
https://t.co/ILXnJzC4Ud
RT @anthonyawasom: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft…
RT @aliaa08: Crazy shopping ahead, guys! 🤩 If you love being trendy and LOVE sales, your time has come 🛍 Shop at Flipkart Fashion’s Best of…
RT @NushBrand: Pretty in print 💙 Shop the latest collection on https://t.co/Zq9IUPabSp @myntra –https://t.co/b2R4COcRDo @Flipkart @centrala…
RT @yashzam: @Flipkart @LifeMathMoney @flipkartsupport @_sachinbansal @binnybansal 
FlPKRT Service is going poor and poor 
Struggling to  r…
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
@flipkartsupport @_Kalyan_K 
Without Checking Any Proper Order Details...All  Past History....Why U R Blocking The… https://t.co/k2H1pVt0LL
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
RT @XiaomiIndia: Looking for #Android? Get the lowest price ever on #RedmiGo and #MiA3 in the #BestOf2019 sale.

Avail the best offers on h…
@flipkartsupport @Flipkart will you be deliver my product ?
#shameonyourservice
RT @manukumarjain: #Santa's gift to Mi Fans! You can now buy amazing #Ultima8 series 24x7!🤩

🎅 #RedmiNote8Pro (#64MP, #G90T  processor, 6+6…
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
@praveen56435964 Please ignore all such messages received from any other source. Request you to click… https://t.co/0zMfxOCO4H
@flipkartsupport @Flipkart let me know the reason ?

#worstservice #shameonyou #irresponsible
@praveen56435964 Thank you for bringing this to our notice! We assure you that any offer other than the ones mentio… https://t.co/cExtHiG09O
@Flipkart is it true? If not then also please provide this offer to me.. https://t.co/Ic2hlhHJOe
@flipkartsupport But this is totally reduclious that you are wasting time &amp; not helping customers #flipkart ...Now… https://t.co/4vjHGd40ke
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
@Flipkart you guys are behaving like blind CX support..not reading the complete details ..no help given till now.
@binnybansal @PhonePe_ @India_Stack I would love to tell u that ur flipkart has do e a 22000 re fraud wid me
@ankit_jain_22 In the future, please do not share your details like phone/IMEI number, email address or order ID he… https://t.co/tc1Zpgvb8M
@Flipkart 2/2..after clearing all things he found his miskate but he left conversation in between....Now assigned t… https://t.co/wzLJJ8WfaF
Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber… https://t.co/NoXdnL7nrd
@flipkartsupport Habe you guys left any other choice. Why are you not delivering my product ? Why are you not provi… https://t.co/TEmqn1h8Po
@baba3vedi To ensure that your Flipkart account information is safe, please start a private message with us. (2/2)… https://t.co/5EZMYUjvr8
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart First person #Lakshya understand my problem. He agreed after conversation with seller for refund ...Now t… https://t.co/kPLPhhiAva
@Flipkart @flipkartsupport #Flipkart #fraud #boycuttflipkart 
Not able to solve the issue from last 7 days, do not care for their customers.
@Flipkart https://t.co/HQ0Y4UtI4e
@Flipkart https://t.co/Nup2FswFER
@Flipkart https://t.co/QVf24cKhEw
It's better to order everything from Amazon and flipkart their delivery is always on time 😤 Never ever buying anyth… https://t.co/G5Hu6ax9mf
RT @xUUIqVOcSOJ6ScG: https://t.co/fkdGPpsvQ8 https://t.co/31rqfLhS8u
2020 is more enjoying while we get scope of saving money through #PaisaBanchao a #discount Catalogue https://t.co/sc5EWuyET0
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart https://t.co/92viMBjaIS
RT @ankitasood13: @TajinderBagga @RiaRevealed @Flipkart Ria "revealed" her 500 rs story !! Lol..... Ispe bhi poll karwalo 😆 her fav timepass
RT @vivekagnihotri: @TajinderBagga @RiaRevealed @Flipkart Which means @RiaRevealed made millions for trolling me. Aha.
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@IndiaPOCO @Flipkart @amazonIN Where is the update for POCO , there are so many bugs in MIUI 11... system getting h… https://t.co/EwNxh8Gxes
@Flipkart
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@xx_marshmello In the future, please do not share your details like phone/IMEI number, email address or order ID he… https://t.co/N8MqAhcfom
@Dikshapandey22 @Flipkart @flipkartsupport @delhivery @help_delhivery https://t.co/2tQgZRQJPS
@xx_marshmello Sorry to hear this. We understand your concern related to the Flipkart account. Be assured, we'll lo… https://t.co/mX831JLv5v
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber… https://t.co/jGSHp9G9ER
RT @HiHonorIndia: A 32MP selfie camera, an awesome quad camera and a dedicated super night mode and is just #3ReasonsWhy anyone would flip…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
RT @sardesairajdeep: 2019: How Modi Won India is now available at book stores. And on Amazon and Flipkart. Look forward to all bouquets and…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
The one item I have placed the return request but not going to pickup and there is another item not going to delive… https://t.co/pJ5DNBVLVl
RT @ImShantanu: What the nonsense is going on...
are you fucking kidding with me..
@Flipkart @flipkartsupport @WorkAtFlipkart @FlipkartStor…
RT @SwamiGeetika: @TajinderBagga @RiaRevealed @Flipkart Not the first time she deletes her tweet, earlier when this AIPC member Andria D'So…
RT @kodaktvindia: Get your Kodak HD LED TV during this festive season from @Flipkart during #JingleDays and switch to a smarter technology.…
@kodaktvindia @Flipkart @kodaktvindia @Flipkart awesome 👌👌👌👌👌👌👌👌❤
RT @kodaktvindia: The gifting season has just begun!
Get your hands on the exciting @Flipkart offers during #JingleDays on Kodak HD LED TV.…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
RT @praveendel: Amazon-Flipkart .. Habitual law offenders, Experts in Tax Avoidance, Monopolising market is USP, Excellence in killing dome…
@amazonIN @amazon you guys have the worst customer care executives ever! Never got a resolution for my reported iss… https://t.co/OTR72Buj5p
RT @kodaktvindia: The gifting season has just begun!
Get your hands on the exciting @Flipkart offers during #JingleDays on Kodak HD LED TV.…
Purchased Boat Headphones and found defect in it within 3 month where it is having warranty of 1 year.

@Boat… https://t.co/gSguVKEEm1
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
@RujutaDiwekar @Flipkart Hello Mam, I am in Canada, how do I get a copy?
RT @sarthakgh: “Over 90% of the small and medium businesses we spoke to in a recent survey sell directly through WhatsApp in India — more t…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
https://t.co/NUwD0BKd3n.
            
Hi there! 

Good news for traders

Free trading account till 31 December

Fre… https://t.co/CI4I6UHcuK
RT @govindatripathi: देश के व्यापारी और दुकानदार @amazonIN और @Flipkart की गलत नीतियों के खिलाफ भूख हड़ताल मे बैठ रहें है ये वो लोग है जो…
Flipkart provided this shoe as the name of Nike retaliation shoe. Frauded by flipkart and am trying to return it fr… https://t.co/P5d2L3iR6g
@delhichatter @TajinderBagga Main toh ek ko janta hoon jisne Flipkart ke Big Billion Days ke tweet ke liye diya tha
RT @govindatripathi: देश के व्यापारी और दुकानदार @amazonIN और @Flipkart की गलत नीतियों के खिलाफ भूख हड़ताल मे बैठ रहें है ये वो लोग है जो…
RT @Dikshapandey22: Dear @delhivery @help_delhivery I have booked a Smart phone from @flipkartsupport ur delivery boy have no manner to tal…
RT @manukumarjain: #Santa's gift to Mi Fans! You can now buy amazing #Ultima8 series 24x7!🤩

🎅 #RedmiNote8Pro (#64MP, #G90T  processor, 6+6…
RT @govindatripathi: देश के व्यापारी और दुकानदार @amazonIN और @Flipkart की गलत नीतियों के खिलाफ भूख हड़ताल मे बैठ रहें है ये वो लोग है जो…
@flipkartsupport @Flipkart You guys are useless. Just by reverting you think you gave proper solution. Earliest mea… https://t.co/aCBlnxMetB
I got sports brand(local) shoe with Nike box for Nike retaliation shoe. From 6th of Dec am trying to return it. Eka… https://t.co/kj7TBcrpjP
@sumitagarwal_82 @AimraMp @Vivo_India @TEAMCAIT @AimraIndia @praveendel Yes, but will this stop Amazon or Flipkart… https://t.co/4Uu5lm4hby
@Flipkart just chk flipkart ur cheating MRP is 499 , ur price Rs 999 after discount coat Rs 599 ....

such a big qu… https://t.co/TTiGBplMAv
@MiTVIndia @amazonIN @Flipkart Hi, When can we expect MITV 5 Pro in India?
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
देश के व्यापारी और दुकानदार @amazonIN और @Flipkart की गलत नीतियों के खिलाफ भूख हड़ताल मे बैठ रहें है ये वो लोग है… https://t.co/mjIf74Jr0g
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart So be it the only resolution of 2020. I am not gonna buy anything from flipkart ever again #flipkartfraud… https://t.co/SoQ5RB1qVC
I wonder if any Indian has ever used @myntra, @Flipkart discount offers on their wishlists.
#holidayseason #onlinesale
RT @manukumarjain: #Santa's gift to Mi Fans! You can now buy amazing #Ultima8 series 24x7!🤩

🎅 #RedmiNote8Pro (#64MP, #G90T  processor, 6+6…
See the Nike shoe provided by flipkart. @Flipkart @flipkartsupport https://t.co/Hf7WM3HCLl
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@flipkartsupport I have no patience bcoz I have paid money for the same. Pl. do such arrangement that I will get it… https://t.co/wasOxCNJ3k
RT @praveendel: Amazon-Flipkart .. Habitual law offenders, Experts in Tax Avoidance, Monopolising market is USP, Excellence in killing dome…
@_Kalyan_K Plzz Pay Attention In Flipkart Account Blocking Issue 🙌🏻
Here is the details of support provided by flipkart and they are not helping me.@Flipkart @flipkartsupport https://t.co/iCTbqlbuWt
@flipkartsupport
@_Kalyan_K 
Is It Wrong To Request Replacement For Wrong Or Damage Product???
Where r ur "T&amp; C"  T… https://t.co/4x18VFYr3u
Walmart’s Flipkart has backed Shadowfax in a new $60 million financing round as t... #news #media #abanews… https://t.co/sdf4vlzuMv
I got a different brand local shoe( sports) instead of Nike retaliation tr 2 (₹3668.0) from flipkart app and which… https://t.co/glsjOkhOap
@susil453 @ishanc @Flipkart @consaff @UfterYou @JagoGrahakJago_ @consumerforum_ They took my 500rs today..what shou… https://t.co/SMfrw2SeTP
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart Worst service.  firstly  they deliver wrong products on returning    they block account
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart @Gadgets360 @ndtv @_sachinbansal @flipkartsupport @MiIndiaSupport @paytm @91mobiles @Paytm  Flipkart fool… https://t.co/gfhBwIJN7d
Play games and win exciting rewards #flipkart #gamezone 
https://t.co/ILXnJzC4Ud
RT @anthonyawasom: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft…
RT @aliaa08: Crazy shopping ahead, guys! 🤩 If you love being trendy and LOVE sales, your time has come 🛍 Shop at Flipkart Fashion’s Best of…
RT @NushBrand: Pretty in print 💙 Shop the latest collection on https://t.co/Zq9IUPabSp @myntra –https://t.co/b2R4COcRDo @Flipkart @centrala…
RT @yashzam: @Flipkart @LifeMathMoney @flipkartsupport @_sachinbansal @binnybansal 
FlPKRT Service is going poor and poor 
Struggling to  r…
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
@flipkartsupport @_Kalyan_K 
Without Checking Any Proper Order Details...All  Past History....Why U R Blocking The… https://t.co/k2H1pVt0LL
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
RT @XiaomiIndia: Looking for #Android? Get the lowest price ever on #RedmiGo and #MiA3 in the #BestOf2019 sale.

Avail the best offers on h…
@flipkartsupport @Flipkart will you be deliver my product ?
#shameonyourservice
RT @manukumarjain: #Santa's gift to Mi Fans! You can now buy amazing #Ultima8 series 24x7!🤩

🎅 #RedmiNote8Pro (#64MP, #G90T  processor, 6+6…
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
@praveen56435964 Please ignore all such messages received from any other source. Request you to click… https://t.co/0zMfxOCO4H
@flipkartsupport @Flipkart let me know the reason ?

#worstservice #shameonyou #irresponsible
@praveen56435964 Thank you for bringing this to our notice! We assure you that any offer other than the ones mentio… https://t.co/cExtHiG09O
@Flipkart is it true? If not then also please provide this offer to me.. https://t.co/Ic2hlhHJOe
@flipkartsupport But this is totally reduclious that you are wasting time &amp; not helping customers #flipkart ...Now… https://t.co/4vjHGd40ke
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
@Flipkart you guys are behaving like blind CX support..not reading the complete details ..no help given till now.
@binnybansal @PhonePe_ @India_Stack I would love to tell u that ur flipkart has do e a 22000 re fraud wid me
@ankit_jain_22 In the future, please do not share your details like phone/IMEI number, email address or order ID he… https://t.co/tc1Zpgvb8M
@Flipkart 2/2..after clearing all things he found his miskate but he left conversation in between....Now assigned t… https://t.co/wzLJJ8WfaF
Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber… https://t.co/NoXdnL7nrd
@flipkartsupport Habe you guys left any other choice. Why are you not delivering my product ? Why are you not provi… https://t.co/TEmqn1h8Po
@baba3vedi To ensure that your Flipkart account information is safe, please start a private message with us. (2/2)… https://t.co/5EZMYUjvr8
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart First person #Lakshya understand my problem. He agreed after conversation with seller for refund ...Now t… https://t.co/kPLPhhiAva
@Flipkart @flipkartsupport #Flipkart #fraud #boycuttflipkart 
Not able to solve the issue from last 7 days, do not care for their customers.
@Flipkart https://t.co/HQ0Y4UtI4e
@Flipkart https://t.co/Nup2FswFER
@Flipkart https://t.co/QVf24cKhEw
It's better to order everything from Amazon and flipkart their delivery is always on time 😤 Never ever buying anyth… https://t.co/G5Hu6ax9mf
RT @xUUIqVOcSOJ6ScG: https://t.co/fkdGPpsvQ8 https://t.co/31rqfLhS8u
2020 is more enjoying while we get scope of saving money through #PaisaBanchao a #discount Catalogue https://t.co/sc5EWuyET0
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@Flipkart https://t.co/92viMBjaIS
RT @ankitasood13: @TajinderBagga @RiaRevealed @Flipkart Ria "revealed" her 500 rs story !! Lol..... Ispe bhi poll karwalo 😆 her fav timepass
RT @vivekagnihotri: @TajinderBagga @RiaRevealed @Flipkart Which means @RiaRevealed made millions for trolling me. Aha.
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@IndiaPOCO @Flipkart @amazonIN Where is the update for POCO , there are so many bugs in MIUI 11... system getting h… https://t.co/EwNxh8Gxes
@Flipkart
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
@xx_marshmello In the future, please do not share your details like phone/IMEI number, email address or order ID he… https://t.co/N8MqAhcfom
@Dikshapandey22 @Flipkart @flipkartsupport @delhivery @help_delhivery https://t.co/2tQgZRQJPS
@xx_marshmello Sorry to hear this. We understand your concern related to the Flipkart account. Be assured, we'll lo… https://t.co/mX831JLv5v
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber… https://t.co/jGSHp9G9ER
RT @HiHonorIndia: A 32MP selfie camera, an awesome quad camera and a dedicated super night mode and is just #3ReasonsWhy anyone would flip…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
RT @sardesairajdeep: 2019: How Modi Won India is now available at book stores. And on Amazon and Flipkart. Look forward to all bouquets and…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
The one item I have placed the return request but not going to pickup and there is another item not going to delive… https://t.co/pJ5DNBVLVl
RT @ImShantanu: What the nonsense is going on...
are you fucking kidding with me..
@Flipkart @flipkartsupport @WorkAtFlipkart @FlipkartStor…
RT @SwamiGeetika: @TajinderBagga @RiaRevealed @Flipkart Not the first time she deletes her tweet, earlier when this AIPC member Andria D'So…
RT @kodaktvindia: Get your Kodak HD LED TV during this festive season from @Flipkart during #JingleDays and switch to a smarter technology.…
@kodaktvindia @Flipkart @kodaktvindia @Flipkart awesome 👌👌👌👌👌👌👌👌❤
RT @kodaktvindia: The gifting season has just begun!
Get your hands on the exciting @Flipkart offers during #JingleDays on Kodak HD LED TV.…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
YouTube
iPad
Kindle
AWS
3G 4G
Android
Apple App Store
Uber
Lyft
Air…
RT @praveendel: Amazon-Flipkart .. Habitual law offenders, Experts in Tax Avoidance, Monopolising market is USP, Excellence in killing dome…
@amazonIN @amazon you guys have the worst customer care executives ever! Never got a resolution for my reported iss… https://t.co/OTR72Buj5p
RT @kodaktvindia: The gifting season has just begun!
Get your hands on the exciting @Flipkart offers during #JingleDays on Kodak HD LED TV.…
Purchased Boat Headphones and found defect in it within 3 month where it is having warranty of 1 year.

@Boat… https://t.co/gSguVKEEm1
RT @HinduSadhvi: हम लोग Flipkart , amazonIN या  ऑनलाइन शॉपिंग करते हैं क्या यह शॉपिंग साइट्स देश हित में कभी आवाज उठाती है ?

नहीं ना,
इसलि…
@RujutaDiwekar @Flipkart Hello Mam, I am in Canada, how do I get a copy?
RT @sarthakgh: “Over 90% of the small and medium businesses we spoke to in a recent survey sell directly through WhatsApp in India — more t…
RT @ValaAfshar: Created in the last 20 years:

Facebook
Twitter
iPhone📱
